NCBI,Final symbol,Human
snx19,snx19 (1 of 2),SNX19
LOC107386476,snx19 (2 of 2),SNX19
fam101b,fam101b,FAM101B
tmem104,tmem104 (1 of 2),TMEM104
LOC107395815,tmem104 (2 of 2),TMEM104
LOC107391821,hoxb8,HOXB8
LOC107376424,slc1a4,SLC1A4
taf15,taf15,TAF15
LOC107375300,art5,ART5
fbln7,fbln7 (1 of 3),FBLN7
LOC107381326,fbln7 (2 of 3),FBLN7
LOC107372530,fbln7 (3 of 3),FBLN7
LOC107395310,LOC107395310,
LOC107384652,des (1 of 4),VIM
des,des (2 of 4),DES
LOC107378834,des (3 of 4),VIM
LOC107390157,des (4 of 4),DES
LOC107380510,scn4b (1 of 2),SCN4B
LOC107386540,scn4b (2 of 2),SCN4B
pwp1,pwp1,PWP1
stx8,stx8,STX8
sf3a3,sf3a3,SF3A3
LOC107388804,pex11a,PEX11A
ahcyl1,ahcyl1 (1 of 3),AHCYL2
LOC107385760,ahcyl1 (2 of 3),AHCYL2
LOC107388935,ahcyl1 (3 of 3),AHCYL2
fam195b,fam195b,FAM195B
plekhm2,plekhm2,PLEKHM2
LOC107395077,spry3,SPRY3
edaradd,edaradd,EDARADD
lrrc42,lrrc42,LRRC42
ankrd63,ankrd63,ANKRD63
atoh7,atoh7,ATOH7
slc6a6,slc6a6 (1 of 2),SLC6A6
LOC107391066,slc6a6 (2 of 2),SLC6A6
csgr02h9orf69,c9orf69,C9orf69
LOC107377233,slc16a2,SLC16A2
usp48,usp48 (1 of 5),USP48
LOC107372937,usp48 (2 of 5),USP48
LOC107373050,usp48 (3 of 5),USP48
LOC107373635,usp48 (4 of 5),USP48
LOC107395801,usp48 (5 of 5),USP48
nexn,nexn,NEXN
ckap4,ckap4,CKAP4
arrdc1,arrdc1 (1 of 2),ARRDC1
LOC107373571,arrdc1 (2 of 2),ARRDC1
LOC107386634,ccdc15,CCDC15
agxt2,agxt2,AGXT2
LOC107384406,uck2,UCK2
zmym2,zmym2,ZMYM2
dlg3,dlg3,DLG3
prex2,prex2,PREX2
eef1g,eef1g,EEF1G
trim54,trim54 (1 of 2),TRIM54
LOC107390545,trim54 (2 of 2),TRIM55
acap2,acap2,ACAP2
nck1,nck1,NCK1
setd2,setd2,SETD2
psmd14,psmd14,PSMD14
mink1,mink1,MINK1
pitpnm3,pitpnm3,PITPNM3
LOC107385825,kera,KERA
slc17a8,slc17a8,SLC17A8
LOC107381302,pif1 (1 of 4),PIF1
pif1,pif1 (2 of 4),PIF1
LOC107381303,pif1 (3 of 4),PIF1
LOC107395499,pif1 (4 of 4),PIF1
LOC107392957,nasp (1 of 2),NASP
LOC107384410,nasp (2 of 2),NASP
kbtbd3,kbtbd3,KBTBD3
stx6,stx6,STX6
snrnp35,snrnp35,SNRNP35
rfx4,rfx4,RFX4
asb13,asb13,ASB13
ahcy,ahcy,AHCY
agpat3,agpat3,AGPAT3
LOC107372891,LOC107372891,
LOC107377687,tagap,TAGAP
LOC107384785,rbm4b (1 of 4),RBM4B
LOC107384787,rbm4b (2 of 4),RBM4B
LOC107384718,rbm4b (3 of 4),RBM4B
LOC107384719,rbm4b (4 of 4),RBM4B
iqsec2,iqsec2 (1 of 2),IQSEC2
LOC107391501,iqsec2 (2 of 2),IQSEC2
LOC107382222,palm3,PALM3
dnajc12,dnajc12,DNAJC12
LOC107391870,kcnk3 (1 of 2),KCNK3
kcnk3,kcnk3 (2 of 2),KCNK3
LOC107377016,trim68,TRIM68
col4a1,col4a1 (1 of 3),COL4A1
LOC107377019,col4a1 (2 of 3),COL4A1
LOC107377020,col4a1 (3 of 3),COL4A2
mvd,mvd,MVD
slc31a1,slc31a1,SLC31A1
LOC107376203,thra (1 of 2),THRA
LOC107387620,thra (2 of 2),THRA
alox5,alox5,ALOX5
atg5,atg5,ATG5
LOC107381936,ap2a2 (1 of 2),AP2A2
LOC107374513,ap2a2 (2 of 2),AP2A2
mok,mok,MOK
acat2,acat2,ACAT2
LOC107391402,clgn (1 of 2),CLGN
clgn,clgn (2 of 2),CANX
pc,pc,PC
LOC107376704,LOC107376704,
fndc9,fndc9,FNDC9
LOC107388199,ptges3l,PTGES3L
cbfb,cbfb,CBFB
LOC107372833,swt1 (1 of 3),SWT1
LOC107372834,swt1 (2 of 3),SWT1
LOC107392889,swt1 (3 of 3),SWT1
chmp1b,chmp1b,CHMP1B
sgcz,sgcz (1 of 2),SGCZ
LOC107377423,sgcz (2 of 2),SGCZ
LOC107394770,chd4 (1 of 2),CHD4
chd4,chd4 (2 of 2),CHD4
LOC107378498,ppp1ca,PPP1CA
LOC107397366,anxa3,ANXA3
LOC107373628,yipf7,YIPF7
LOC107387702,rgs9 (1 of 2),RGS9
LOC107372672,rgs9 (2 of 2),RGS9
LOC107372486,arnt2 (1 of 3),ARNT2
LOC107395664,arnt2 (2 of 3),ARNT2
arnt2,arnt2 (3 of 3),ARNT2
cops2,cops2,COPS2
pik3cg,pik3cg (1 of 2),PIK3CG
LOC107391427,pik3cg (2 of 2),PIK3CG
LOC107395827,cplx2,CPLX2
arhgap11b,arhgap11b,ARHGAP11B
fgf14,fgf14 (1 of 2),FGF14
LOC107381121,fgf14 (2 of 2),FGF14
LOC107386611,npm1 (1 of 2),NPM1
LOC107396135,npm1 (2 of 2),NPM1
ect2,ect2,ECT2
LOC107390613,piezo2 (1 of 2),PIEZO2
piezo2,piezo2 (2 of 2),PIEZO2
dnajc2,dnajc2,DNAJC2
adck2,adck2,ADCK2
LOC107382445,slit1 (1 of 3),SLIT1
LOC107389880,slit1 (2 of 3),SLIT1
slit1,slit1 (3 of 3),SLIT1
LOC107380343,LOC107380343,
dll4,dll4 (1 of 2),DLL4
LOC107392426,dll4 (2 of 2),DLL4
nuf2,nuf2,NUF2
LOC107373877,git1 (1 of 3),GIT1
LOC107372611,git1 (2 of 3),GIT1
LOC107373031,git1 (3 of 3),GIT1
LOC107376476,pam16,CORO7-PAM16
LOC107380742,aldh3a1,ALDH3A2
slc7a7,slc7a7 (1 of 2),SLC7A7
LOC107394722,slc7a7 (2 of 2),SLC7A7
rap1b,rap1b (1 of 4),RAP1B
LOC107390354,rap1b (2 of 4),RAP1B
LOC107376705,rap1b (3 of 4),RASD2
LOC107389464,rap1b (4 of 4),RAP1B
snx29,snx29,SNX29
ranbp2,ranbp2,RANBP2
commd9,commd9,COMMD9
suclg2,suclg2,SUCLG2
LOC107393747,antxr1 (1 of 4),ANTXR2
LOC107373148,antxr1 (2 of 4),ANTXR2
LOC107375642,antxr1 (3 of 4),ANTXR1
LOC107388209,antxr1 (4 of 4),ANTXR1
ccdc64,ccdc64 (1 of 2),CCDC64
LOC107386879,ccdc64 (2 of 2),CCDC64
wnt7a,wnt7a (1 of 2),WNT7A
LOC107395904,wnt7a (2 of 2),WNT7A
LOC107396715,unc13d (1 of 3),UNC13D
unc13d,unc13d (2 of 3),UNC13D
LOC107373496,unc13d (3 of 3),UNC13D
LOC107385726,fam212a (1 of 2),FAM212A
LOC107385198,fam212a (2 of 2),FAM212A
LOC107377299,oxa1l,OXA1L
tecpr2,tecpr2 (1 of 6),TECPR2
LOC107383174,tecpr2 (2 of 6),TECPR2
LOC107388082,tecpr2 (3 of 6),TECPR2
LOC107383185,tecpr2 (4 of 6),
LOC107374563,tecpr2 (5 of 6),TECPR2
LOC107383164,tecpr2 (6 of 6),
ppil2,ppil2,PPIL2
LOC107390687,errfi1 (1 of 2),ERRFI1
errfi1,errfi1 (2 of 2),ERRFI1
dnajc9,dnajc9,DNAJC9
iqub,iqub,IQUB
LOC107379950,LOC107379950,
dlk1,dlk1,DLK1
rbpjl,rbpjl,RBPJL
ppp1r14b,ppp1r14b (1 of 2),PPP1R14B
LOC107395152,ppp1r14b (2 of 2),PPP1R14B
LOC107393369,coa7,COA7
isl2,isl2 (1 of 2),ISL2
LOC107381550,isl2 (2 of 2),ISL2
taf6,taf6,TAF6
b9d2,b9d2,B9D2
mesdc1,mesdc1,MESDC1
tp53inp1,tp53inp1,TP53INP1
fbxl5,fbxl5,FBXL5
evi5l,evi5l,EVI5L
LOC107393286,hmx1 (1 of 3),HMX3
LOC107377403,hmx1 (2 of 3),HMX2
LOC107377378,hmx1 (3 of 3),HMX3
rpa1,rpa1 (1 of 2),RPA1
LOC107395678,rpa1 (2 of 2),RPA1
abcb7,abcb7,ABCB7
rars2,rars2,RARS2
brms1,brms1,BRMS1L
tbc1d5,tbc1d5,TBC1D5
LOC107392753,LOC107392753,CES1
rrp8,rrp8,RRP8
ccdc169,ccdc169,CCDC169
rnf24,rnf24,RNF24
slc39a9,slc39a9 (1 of 2),SLC39A9
LOC107375565,slc39a9 (2 of 2),SLC39A9
picalm,picalm (1 of 3),PICALM
LOC107376991,picalm (2 of 3),PICALM
LOC107386738,picalm (3 of 3),PICALM
LOC107389017,tbc1d10b (1 of 2),USP6NL
tbc1d10b,tbc1d10b (2 of 2),TBC1D10B
akt1s1,akt1s1,AKT1S1
col9a1,col9a1 (1 of 3),COL9A1
LOC107394977,col9a1 (2 of 3),COL21A1
LOC107395683,col9a1 (3 of 3),COL9A1
LOC107376610,il6st (1 of 7),IL12RB2
il6st,il6st (2 of 7),IL6ST
LOC107392799,il6st (3 of 7),IL6ST
LOC107392137,il6st (4 of 7),IL6ST
LOC107377727,il6st (5 of 7),IL6ST
LOC107386188,il6st (6 of 7),IL6ST
LOC107392624,il6st (7 of 7),IL6ST
LOC107387304,LOC107387304,
foxn3,foxn3,FOXN3
bcl2l13,bcl2l13 (1 of 2),BCL2L13
LOC107386214,bcl2l13 (2 of 2),BCL2L13
nyx,nyx,NYX
elp2,elp2,ELP2
rai2,rai2,RAI2
dtnbp1,dtnbp1 (1 of 2),DTNBP1
LOC107378978,dtnbp1 (2 of 2),DTNBP1
hck,hck (1 of 2),SRMS
LOC107386929,hck (2 of 2),HCK
tmem184a,tmem184a,TMEM184A
drp2,drp2,DRP2
LOC107396865,pcdhga10,PCDHGA11
LOC107386421,atp6v1a (1 of 2),ATP6V1A
atp6v1a,atp6v1a (2 of 2),ATP6V1A
csgr11h21orf59,csgr11h21orf59,C21orf59
LOC107391195,taf10 (1 of 2),TAF10
LOC107396587,taf10 (2 of 2),TAF10
uspl1,uspl1,USPL1
ltbp3,ltbp3,LTBP3
LOC107389709,upf3a,UPF3A
pak6,pak6 (1 of 2),BUB1B-PAK6
LOC107377909,pak6 (2 of 2),PAK4
LOC107397315,fut7 (1 of 3),FUT7
LOC107397307,fut7 (2 of 3),FUT7
LOC107397323,fut7 (3 of 3),FUT7
nudt22,nudt22,NUDT22
LOC107383317,btd,BTD
LOC107378890,LOC107378890,
lta4h,lta4h,LTA4H
LOC107378685,sp8 (1 of 2),SP8
LOC107383329,sp8 (2 of 2),SP8
psmc6,psmc6,PSMC6
adamts18,adamts18,ADAMTS18
arhgef18,arhgef18 (1 of 2),CTD-2207O23.3
LOC107383585,arhgef18 (2 of 2),CTD-2207O23.3
cog8,cog8,COG8
mettl9,mettl9,METTL9
sccpdh,sccpdh,SCCPDH
abhd11,abhd11,ABHD11
gtf3c4,gtf3c4,GTF3C4
LOC107387545,LOC107387545,
LOC107373499,LOC107373499,
LOC107372614,LOC107372614,
nup62,nup62 (1 of 2),NUP62
LOC107374073,nup62 (2 of 2),
LOC107387650,ifnphi4,IFNA21
casp6,casp6,CASP6
ilkap,ilkap,ILKAP
ppp2r3a,ppp2r3a,PPP2R3A
LOC107376056,ugp2 (1 of 2),UGP2
LOC107382284,ugp2 (2 of 2),UGP2
LOC107372776,vamp5,VAMP2
sms,sms,SMS
pus7,pus7,PUS7
lancl2,lancl2,LANCL2
slc10a7,slc10a7,SLC10A7
cd302,cd302,CD302
stox1,stox1,STOX1
pwwp2b,pwwp2b,PWWP2B
setd9,setd9,SETD9
LOC107380623,htr4 (1 of 2),HTR4
LOC107396897,htr4 (2 of 2),HTR4
flnb,flnb,FLNB
pfdn4,pfdn4,PFDN4
LOC107394411,LOC107394411,
LOC107380774,clcn2 (1 of 3),CLCN2
LOC107380800,clcn2 (2 of 3),CLCN2
LOC107383965,clcn2 (3 of 3),CLCN2
wrap73,wrap73,WRAP73
klhl42,klhl42,KLHL42
sass6,sass6 (1 of 2),SASS6
LOC107391802,sass6 (2 of 2),
anks4b,anks4b,ANKS4B
LOC107384659,cldn34 (1 of 2),CLDN34
LOC107396044,cldn34 (2 of 2),CLDN34
LOC107385302,shisa5,SHISA4
emc6,emc6,EMC6
LOC107391889,pank3,PANK2
def8,def8,DEF8
ap2m1,ap2m1,AP2M1
prdm13,prdm13,PRDM13
tgs1,tgs1,TGS1
cdr2l,cdr2l (1 of 2),CDR2L
LOC107372409,cdr2l (2 of 2),CDR2L
LOC107377348,irs1 (1 of 4),IRS1
LOC107380884,irs1 (2 of 4),IRS2
LOC107377017,irs1 (3 of 4),IRS1
LOC107386495,irs1 (4 of 4),IRS1
LOC107386020,glb1l2 (1 of 2),GLB1L2
LOC107380711,glb1l2 (2 of 2),GLB1L2
eif4h,eif4h,EIF4H
nid2,nid2,NID2
psmc3ip,psmc3ip,PSMC3IP
gngt2,gngt2,GNGT1
wdr66,wdr66,WDR66
rdm1,rdm1,RDM1
rngtt,rngtt,RNGTT
LOC107390214,hnmt (1 of 3),HNMT
LOC107389879,hnmt (2 of 3),HNMT
LOC107390215,hnmt (3 of 3),HNMT
cd44,cd44,CD44
LOC107384421,nos1ap (1 of 3),NOS1AP
LOC107374782,nos1ap (2 of 3),NOS1AP
LOC107393031,nos1ap (3 of 3),NOS1AP
LOC107372488,LOC107372488,
rasgef1b,rasgef1b (1 of 2),RASGEF1B
LOC107396749,rasgef1b (2 of 2),RASGEF1B
nelfa,nelfa,NELFA
atp8b4,atp8b4 (1 of 2),ATP8B4
LOC107372793,atp8b4 (2 of 2),ATP8B4
LOC107385586,prmt8 (1 of 2),PRMT8
LOC107389090,prmt8 (2 of 2),PRMT8
slc5a10,slc5a10,SLC5A10
LOC107384653,LOC107384653,
LOC107381597,snx4 (1 of 2),SNX4
LOC107390162,snx4 (2 of 2),SNX4
bcl9l,bcl9l,BCL9L
LOC107388356,sox6 (1 of 2),SOX6
sox6,sox6 (2 of 2),SOX6
ascc1,ascc1,ASCC1
rbm8a,rbm8a,RBM8A
gps2,gps2,GPS2
brix1,brix1,BRIX1
LOC107373225,btn2a2 (1 of 2),BTN1A1
LOC107372657,btn2a2 (2 of 2),BTN1A1
ca12,ca12,CA12
pisd,pisd,PISD
card11,card11 (1 of 3),CARD11
LOC107376306,card11 (2 of 3),CARD10
LOC107386084,card11 (3 of 3),
hnrnpl,hnrnpl (1 of 2),HNRNPL
LOC107385983,hnrnpl (2 of 2),HNRNPL
scaper,scaper,SCAPER
LOC107373158,arfrp1 (1 of 2),ARFRP1
LOC107373585,arfrp1 (2 of 2),ARFRP1
cisd1,cisd1,CISD1
LOC107377177,acin1 (1 of 2),ACIN1
acin1,acin1 (2 of 2),ACIN1
LOC107391407,cacna1d (1 of 5),CACNA1D
cacna1d,cacna1d (2 of 5),CACNA1D
LOC107372497,cacna1d (3 of 5),CACNA1D
LOC107372495,cacna1d (4 of 5),CACNA1D
LOC107385116,cacna1d (5 of 5),CACNA1D
tkfc,tkfc,TKFC
eya2,eya2,EYA2
rbm47,rbm47,RBM47
LOC107374198,ccl3,CCL3
dnajc19,dnajc19,DNAJC19
aco1,aco1,ACO1
mark1,mark1,MARK1
acox3,acox3,ACOX3
kcnj5,kcnj5,KCNJ5
LOC107372592,slc6a3 (1 of 2),SLC6A2
slc6a3,slc6a3 (2 of 2),SLC6A3
LOC107377971,LOC107377971,
med15,med15,MED15
iqgap1,iqgap1,IQGAP1
pgk1,pgk1,PGK1
LOC107389529,sh3bp4 (1 of 2),SH3BP4
LOC107384670,sh3bp4 (2 of 2),SH3BP4
LOC107374747,slc14a1 (1 of 2),SLC14A2
LOC107376947,slc14a1 (2 of 2),SLC14A1
med10,med10,MED10
cd79a,cd79a,CD79B
LOC107387649,ifna13,IFNA13
clns1a,clns1a,CLNS1A
bloc1s6,bloc1s6,BLOC1S6
cep170b,cep170b (1 of 2),CEP170B
LOC107377902,cep170b (2 of 2),CEP170B
slc7a3,slc7a3,SLC7A3
uap1l1,uap1l1,UAP1L1
LOC107379488,znf384,ZNF384
aldh2,aldh2,ALDH2
whamm,whamm,WHAMM
shprh,shprh,SHPRH
wdr34,wdr34,WDR34
LOC107391618,LOC107391618,
gart,gart,GART
LOC107391302,tuba8 (1 of 2),TUBA1A
LOC107391534,tuba8 (2 of 2),TUBA8
znf592,znf592,ZNF592
kdm2a,kdm2a (1 of 3),KDM2A
LOC107389061,kdm2a (2 of 3),KDM2A
LOC107382424,kdm2a (3 of 3),KDM2A
LOC107389844,ube2a (1 of 2),UBE2A
ube2a,ube2a (2 of 2),UBE2A
LOC107393780,trpm3,TRPM3
LOC107392450,fmn1 (1 of 2),FMN1
LOC107377809,fmn1 (2 of 2),FMN1
ttll11,ttll11,TTLL11
csgr14h11orf24,c11orf24,C11orf24
csgr06h11orf57,csgr06h11orf57,C11orf57
stk19,stk19,STK19
LOC107373830,sppl2a (1 of 2),SPPL2A
LOC107373711,sppl2a (2 of 2),SPPL2A
arl4d,arl4d,ARL4D
lrrc41,lrrc41,LRRC41
LOC107394879,znf706 (1 of 2),ZNF706
znf706,znf706 (2 of 2),ZNF706
LOC107393198,shd,SHD
appl2,appl2,APPL2
wfikkn1,wfikkn1,WFIKKN1
LOC107381982,abcc12,ABCC12
tspan31,tspan31,TSPAN31
dnase1l2,dnase1l2,DNASE1
slc39a11,slc39a11,SLC39A11
macc1,macc1,MACC1
fam50a,fam50a,FAM50A
asip,asip,ASIP
rsl24d1,rsl24d1,RSL24D1
LOC107387224,or2k2,OR2K2
pole3,pole3,POLE3
LOC107378641,znf184 (1 of 2),ZNF616
LOC107396513,znf184 (2 of 2),ZNF728
LOC107389645,lonrf2,LONRF2
npas1,npas1,NPAS3
farsa,farsa,FARSA
LOC107392595,nt5c1a (1 of 4),NT5C1A
LOC107377725,nt5c1a (2 of 4),NT5C1A
LOC107396068,nt5c1a (3 of 4),NT5C1A
LOC107395013,nt5c1a (4 of 4),NT5C1A
tcf4,tcf4,TCF4
gnb4,gnb4,GNB4
LOC107374039,plcl1 (1 of 2),PLCL1
LOC107374158,plcl1 (2 of 2),PLCL1
tmem88b,tmem88b,TMEM88
lama3,lama3 (1 of 4),LAMA3
LOC107393377,lama3 (2 of 4),LAMA3
LOC107393418,lama3 (3 of 4),LAMA3
LOC107393376,lama3 (4 of 4),LAMA3
LOC107396868,prps1,PRPS1
LOC107374466,pkib,PKIB
ppil6,ppil6,PPIL6
LOC107386992,slc43a2 (1 of 2),SLC43A2
LOC107397135,slc43a2 (2 of 2),SLC43A2
wbscr16,wbscr16,WBSCR16
dnaaf2,dnaaf2,DNAAF2
LOC107385643,lima1 (1 of 2),LIMA1
lima1,lima1 (2 of 2),LIMA1
LOC107393553,LOC107393553,
LOC107373204,rrp7a (1 of 2),RRP7A
rrp7a,rrp7a (2 of 2),RRP7A
fam171a2,fam171a2,FAM171A2
sufu,sufu,SUFU
LOC107378514,mylpf (1 of 2),MYLPF
LOC107387936,mylpf (2 of 2),MYLPF
usp40,usp40,USP40
LOC107396421,ppp1r3b (1 of 2),PPP1R3B
LOC107374994,ppp1r3b (2 of 2),PPP1R3B
brat1,brat1,BRAT1
chaf1b,chaf1b,CHAF1B
cdip1,cdip1,CDIP1
tns4,tns4,TNS4
cnot6l,cnot6l,CNOT6L
nob1,nob1,NOB1
ncf1,ncf1,NCF1
eif3a,eif3a,EIF3A
dnali1,dnali1 (1 of 2),DNALI1
LOC107387793,dnali1 (2 of 2),DNALI1
cd74,cd74 (1 of 2),CD74
LOC107375851,cd74 (2 of 2),CD74
znf131,znf131,ZNF131
LOC107395846,mapt (1 of 3),MAPT
LOC107387288,mapt (2 of 3),MAPT
LOC107377230,mapt (3 of 3),MAP2
tollip,tollip,TOLLIP
trit1,trit1,TRIT1
LOC107384609,efr3b (1 of 2),EFR3B
efr3b,efr3b (2 of 2),EFR3B
col25a1,col25a1,COL25A1
znf608,znf608,ZNF608
fam179b,fam179b,FAM179B
LOC107393416,osbpl1a (1 of 3),OSBPL1A
LOC107383937,osbpl1a (2 of 3),OSBPL1A
LOC107393415,osbpl1a (3 of 3),OSBPL1A
LOC107388440,parvb,PARVB
palmd,palmd,PALMD
tmem206,tmem206,TMEM206
fzd10,fzd10,FZD10
LOC107395114,crb2,CRB1
bmpr2,bmpr2 (1 of 2),BMPR2
LOC107391016,bmpr2 (2 of 2),BMPR2
igsf11,igsf11 (1 of 2),IGSF11
LOC107386382,igsf11 (2 of 2),IGSF11
kiaa0586,kiaa0586,KIAA0586
blvra,blvra,BLVRA
arhgef33,arhgef33,ARHGEF33
serpini1,serpini1,SERPINI1
ttc17,ttc17,TTC17
LOC107374193,celf1,CELF1
cdh17,cdh17,CDH17
LOC107376963,LOC107376963,
slc25a20,slc25a20,SLC25A20
LOC107392810,apba3,APBA1
sepp1,sepp1 (1 of 2),SEPP1
LOC107384211,sepp1 (2 of 2),SEPP1
atad3a,atad3a,ATAD3A
cfap97,cfap97,CFAP97
thoc7,thoc7,THOC7
LOC107389101,flg2,ANKRD50
nab1,nab1,NAB1
mapkbp1,mapkbp1 (1 of 3),MAPKBP1
LOC107378064,mapkbp1 (2 of 3),MAPKBP1
LOC107378106,mapkbp1 (3 of 3),
spats2,spats2,SPATS2
mmp19,mmp19 (1 of 2),MMP19
LOC107391241,mmp19 (2 of 2),MMP19
gnal,gnal (1 of 2),GNAL
LOC107396846,gnal (2 of 2),GNAL
fbxo21,fbxo21,FBXO21
ugt8,ugt8,UGT8
crkl,crkl,CRKL
ano10,ano10 (1 of 3),ANO10
LOC107389227,ano10 (2 of 3),ANO10
LOC107389228,ano10 (3 of 3),ANO10
ccdc191,ccdc191,CCDC191
zbtb38,zbtb38 (1 of 2),ZBTB38
LOC107377399,zbtb38 (2 of 2),ZBTB38
LOC107391807,ppp1r35,PPP1R35
LOC107393505,zbtb26,ZBTB26
ube2o,ube2o,UBE2O
itprip,itprip (1 of 2),ITPRIP
LOC107392675,itprip (2 of 2),ITPRIP
usp36,usp36,USP42
trim45,trim45,TRIM45
LOC107387941,kcna5,KCNA5
efcab1,efcab1,EFCAB1
eogt,eogt,EOGT
pir,pir,PIR
LOC107390461,atp6ap1 (1 of 3),ATP6AP1
atp6ap1,atp6ap1 (2 of 3),ATP6AP1
LOC107373850,atp6ap1 (3 of 3),ATP6AP1L
LOC107386137,LOC107386137,
icmt,icmt,ICMT
LOC107381887,esrp2,ESRP1
LOC107376230,vldlr (1 of 3),VLDLR
LOC107395399,vldlr (2 of 3),SORL1
vldlr,vldlr (3 of 3),VLDLR
tnip2,tnip2,TNIP2
LOC107385620,ddn,
LOC107396987,LOC107396987,
LOC107373954,LOC107373954,
LOC107386182,il1b,IL1B
exosc5,exosc5,EXOSC5
supt7l,supt7l,SUPT7L
LOC107378760,ccr4,CCR4
otos,otos,OTOS
LOC107388065,per2 (1 of 2),PER1
LOC107383961,per2 (2 of 2),PER2
fam84b,fam84b (1 of 2),FAM84B
LOC107394733,fam84b (2 of 2),FAM84B
ptgfrn,ptgfrn,PTGFRN
LOC107373074,LOC107373074,
rpl7,rpl7,RPL7
LOC107388812,fam174b,FAM174B
tpd52l1,tpd52l1,TPD52L1
cenpn,cenpn,CENPN
sorbs3,sorbs3,SORBS3
pecr,pecr (1 of 2),PECR
LOC107389295,pecr (2 of 2),PECR
LOC107373826,grap2,GRAP2
hnrnpul2,hnrnpul2,HNRNPUL2-BSCL2
ntn4,ntn4,NTN4
LOC107382328,tnrc6c (1 of 2),TNRC6C
LOC107376592,tnrc6c (2 of 2),TNRC6C
ahctf1,ahctf1,AHCTF1
slc25a19,slc25a19,SLC25A19
calcr,calcr,CALCRL
lgr4,lgr4,LGR4
LOC107373718,gltp (1 of 2),GLTP
gltp,gltp (2 of 2),GLTP
LOC107378019,cenpw,CENPW
LOC107379079,ppt2 (1 of 2),PPT2
LOC107394534,ppt2 (2 of 2),PPT2
tgm1,tgm1 (1 of 2),TGM1
LOC107384224,tgm1 (2 of 2),TGM1
gstcd,gstcd,GSTCD
LOC107385490,vpreb1,VPREB1
cep95,cep95,CEP95
LOC107393220,rxrg,RXRG
LOC107397346,LOC107397346,
b3gat3,b3gat3,B3GAT3
slc30a4,slc30a4,SLC30A4
LOC107396958,eif4ebp1 (1 of 2),EIF4EBP1
LOC107394233,eif4ebp1 (2 of 2),EIF4EBP1
prrg4,prrg4,PRRG4
snx20,snx20,SNX20
lipt1,lipt1,LIPT1
LOC107392399,fos (1 of 3),FOS
LOC107377523,fos (2 of 3),FOS
LOC107377524,fos (3 of 3),FOS
LOC107389339,dyrk4,DYRK4
vstm2l,vstm2l (1 of 3),VSTM2L
LOC107391237,vstm2l (2 of 3),VSTM2L
LOC107385530,vstm2l (3 of 3),VSTM2L
LOC107384633,dynlt3 (1 of 2),DYNLT1
dynlt3,dynlt3 (2 of 2),DYNLT1
LOC107376749,rela,RELA
nhp2,nhp2,NHP2
unc80,unc80,UNC80
LOC107390588,ifrd2,IFRD1
LOC107383997,LOC107383997,
LOC107386667,flg,TJAP1
snrnp70,snrnp70,SNRNP70
b3gnt8,b3gnt8,B3GNT2
klf6,klf6 (1 of 2),KLF6
LOC107382657,klf6 (2 of 2),KLF6
LOC107383444,LOC107383444,CEL
tsc22d2,tsc22d2 (1 of 2),TSC22D2
LOC107392740,tsc22d2 (2 of 2),TSC22D2
aff4,aff4,AFF4
fbl,fbl,FBL
pithd1,pithd1,PITHD1
sh2b2,sh2b2,SH2B2
uchl5,uchl5,UCHL5
eif2b5,eif2b5,EIF2B5
rfk,rfk,RFK
upf1,upf1,UPF1
LOC107382470,otud1 (1 of 2),OTUD1
LOC107374651,otud1 (2 of 2),OTUD1
rtkn,rtkn (1 of 2),RTKN
LOC107374897,rtkn (2 of 2),RTKN
LOC107384828,fam83c (1 of 2),FAM83C
LOC107384829,fam83c (2 of 2),FAM83C
pdf,pdf,PDF
mrpl20,mrpl20,MRPL20
LOC107373987,zxdc (1 of 2),ZXDC
LOC107396707,zxdc (2 of 2),ZXDC
sdhaf4,sdhaf4,SDHAF4
csgr15h1orf174,csgr15h1orf174,C1orf174
nwd2,nwd2 (1 of 2),NWD2
LOC107380427,nwd2 (2 of 2),NWD2
LOC107383534,ctsz (1 of 3),CTSZ
ctsz,ctsz (2 of 3),CTSZ
LOC107382187,ctsz (3 of 3),CTSZ
rtcb,rtcb,RTCB
LOC107389731,akap8,AKAP8L
csgr02h22orf23,csgr02h22orf23,C22orf23
LOC107391527,dnase1 (1 of 2),DNASE1L3
LOC107384965,dnase1 (2 of 2),DNASE1
cmip,cmip,CMIP
adam23,adam23,ADAM23
ventx,ventx,MSX2
dhx57,dhx57,DHX57
acaa1,acaa1,ACAA1
dcp2,dcp2,DCP2
kif21a,kif21a (1 of 3),KIF21A
LOC107397157,kif21a (2 of 3),KIF21A
LOC107374558,kif21a (3 of 3),KIF21A
elof1,elof1,ELOF1
LOC107387017,spns2,SPNS2
LOC107395994,gabrr2 (1 of 3),GABRR2
LOC107396947,gabrr2 (2 of 3),GABRR2
LOC107395993,gabrr2 (3 of 3),GABRR2
dnttip1,dnttip1,DNTTIP1
chga,chga,CHGA
bace2,bace2,BACE2
plek2,plek2,PLEK2
accs,accs (1 of 2),ACCS
LOC107396149,accs (2 of 2),ZSCAN29
prkdc,prkdc,PRKDC
tpra1,tpra1,TPRA1
LOC107385615,nr4a1 (1 of 2),NR4A1
LOC107390383,nr4a1 (2 of 2),NR4A1
LOC107373994,tacr1 (1 of 3),TACR1
LOC107395595,tacr1 (2 of 3),TACR1
