ncbi	human
LOC107396216	FAM78B
LOC107378561	HEXIM1
frrs1l	FRRS1L
LOC107387982	MMP17
LOC107388094	TOP2A
dazap1	DAZAP1
LOC107382209	PDE6H
batf3	BATF3
slc22a16	SLC22A16
shisa2	SHISA2
LOC107391094	CECR5
LOC107394594	S100P
urm1	URM1
LOC107393132	XPR1
LOC107388881	PCDH10
LOC107382443	GLRB
atg2b	ATG2B
mks1	MKS1
LOC107391983	FOXO3
LOC107394689	SV2A
mrpl55	MRPL55
LOC107397036	NRXN2
mttp	MTTP
pxdc1	PXDC1
stam	STAM
LOC107389426	IL1R1
cdv3	CDV3
tmlhe	TMLHE
LOC107391757	HIST2H2AB
LOC107373218	OSBPL3
LOC107379006	MYO1E
mapkap1	MAPKAP1
LOC107394158	SPEF2
LOC107383699	PUF60
LOC107396599	ZNF385C
elf4	ELF4
LOC107384842	GPR4
syt10	SYT10
efcab14	EFCAB14
LOC107392531	PABPC4
LOC107380504	DNAAF1
gbx1	GBX1
LOC107384086	TM6SF2
tceb1	TCEB1
polk	POLK
hoxa11	HOXD11
tacr3	TACR3
LOC107387680	COL1A1
ylpm1	YLPM1
tmem19	TMEM19
LOC107391482	LRRN1
tmem35	TMEM35
chrng	CHRNG
LOC107372613	NBEAL2
LOC107386976	MTUS2
nagk	NAGK
mad2l2	MAD2L2
LOC107383760	MYRIP
LOC107384694	PCBP3
spire2	SPIRE2
siah1	SIAH1
hmga1	HMGA1
LOC107395838	SPATA17
rcl1	RCL1
pla2g6	PLA2G6
rbm33	RBM33
LOC107389155	SAMD3
LOC107396903	PGBD4
LOC107376146	LRRC8D
LOC107374799	SPATA5
LOC107389419	TMPRSS3
LOC107395000	SLC29A1
LOC107376800	ZNF235
LOC107378373	HBG2
slc35d2	SLC35D2
mut	MUT
hsd3b7	HSD3B7
LOC107379537	CBL
acvr2b	ACVR2B
dpysl4	DPYSL4
stim2	STIM2
ctdp1	CTDP1
LOC107389523	F5
ranbp10	RANBP10
LOC107394774	GNB3
slc35e2b	SLC35E2B
LOC107375916	PAX2
rxrb	RXRA
ndufaf5	NDUFAF5
kansl2	KANSL2
LOC107392144	PTTG1IP
brd1	BRD1
LOC107377552	MYCT1
znrf1	ZNRF1
tacr2	TACR3
LOC107396393	SPTAN1
ubald2	UBALD2
LOC107391820	HOXB6
LOC107384415	FCHO2
LOC107374372	PRSS16
LOC107376893	PPP3CA
rusc1	RUSC1
LOC107381541	DAPK2
tnfaip3	TNFAIP3
strada	STRADA
LOC107378093	VEGFA
LOC107386155	OGDH
pafah1b3	PAFAH1B3
LOC107392105	AKAP9
cyhr1	CYHR1
LOC107390378	TECR
rgs22	RGS22
LOC107395651	HSPA8
LOC107393491	BCR
rmdn1	RMDN1
LOC107396446	SLC30A6
plekhg5	PLEKHG5
pde12	PDE12
LOC107393983	CORO1C
LOC107386892	CD9
LOC107396135	NPM1
LOC107390138	SON
LOC107395472	TRIM27
rplp1	RPLP1
gpr182	GPR182
LOC107388370	TDG
LOC107384923	TRIM7
LOC107373618	NYNRIN
LOC107377215	IGFBP5
LOC107391353	NUDT16
LOC107388503	HIST1H2BL
LOC107392392	CLEC4M
LOC107372601	MATN2
LOC107392631	DNAH8
LOC107380953	ZNF541
mpp5	MPP5
mblac1	MBLAC1
faim	FAIM
ermp1	ERMP1
LOC107374210	ITFG1
gng8	GNG8
sirt4	SIRT4
cdkn2c	CDKN2C
foxm1	FOXM1
LOC107374872	RTKN2
ntrk2	NTRK2
aldh6a1	ALDH6A1
LOC107396899	ZNF568
fbxo34	FBXO34
tenm2	TENM2
LOC107380028	FRY
LOC107383076	DPP6
LOC107389529	SH3BP4
LOC107373597	C4orf32
LOC107373202	ZBED9
LOC107381121	FGF14
yap1	YAP1
tfap2d	TFAP2D
stam2	STAM2
LOC107395098	TRIM2
abcd4	ABCD4
LOC107378677	FHOD3
LOC107384500	CD99L2
rprd2	RPRD2
LOC107389463	XKR7
LOC107375739	NDST1
LOC107383810	THEM6
isca2	ISCA2
brsk1	BRSK1
srgap2	SRGAP2
LOC107382715	FAM92B
oscp1	OSCP1
kctd2	KCTD2
galt	GALT
map3k8	MAP3K8
ephb3	EPHB3
tm7sf3	TM7SF3
iapp	IAPP
mansc1	MANSC1
exd2	EXD2
LOC107385722	GPR22
adad1	ADAD1
sharpin	SHARPIN
mvp	MVP
LOC107392654	HNRNPM
nde1	NDE1
LOC107397027	PDZD2
rhno1	RHNO1
LOC107390939	ZBED4
LOC107385928	IL1RAPL2
LOC107374477	TNIP1
LOC107383596	NMRK2
LOC107386273	COL24A1
LOC107381186	SMYD2
wdr83	WDR83
mtmr10	MTMR10
LOC107384320	MPP7
e4f1	E4F1
slc4a11	SLC4A11
tec	TEC
LOC107392335	FCRL5
kncn	KNCN
LOC107372973	PCDHGA12
LOC107395989	GABRR1
LOC107380884	IRS2
LOC107395900	ZNF235
LOC107389101	ANKRD50
LOC107376786	ZNF235
pstk	PSTK
LOC107393835	C2CD4C
unc50	UNC50
gpr176	GPR176
LOC107390564	TNNC1
tmem100	TMEM100
thsd7a	THSD7A
LOC107390960	KCNA3
LOC107391457	PLXNB3
gnpat	GNPAT
LOC107377162	GIMAP7
hpx	HPX
immt	IMMT
rfc3	RFC3
LOC107390463	PFKFB1
LOC107390290	MMADHC
csrnp2	CSRNP2
trappc4	TRAPPC4
garnl3	GARNL3
bahcc1	BAHCC1
LOC107395917	KLHL17
LOC107395708	HARBI1
LOC107396872	PCDHGA12
LOC107373658	PRODH
taf1b	TAF1B
LOC107393338	C1QTNF9B
fam196a	FAM196A
LOC107379739	RORB
LOC107392498	SPECC1
snapin	SNAPIN
arhgap40	ARHGAP40
LOC107373910	AKAP11
LOC107387394	HS2ST1
LOC107382102	CDX4
LOC107394549	RBMS3
LOC107380557	OR52B2
LOC107373377	ZNF235
LOC107396904	FCRLB
zdhhc16	ZDHHC16
fam198b	FAM198B
LOC107380220	CLDN8
LOC107383475	PVRL4
mob2	MOB2
dyrk1b	DYRK1B
kmt2d	KMT2D
gabarapl2	GABARAPL2
LOC107383400	TRIM55
LOC107396641	TAPBPL
drd5	DRD5
LOC107384003	ARL14
ube2i	UBE2I
fgf10	FGF10
mterf1	MTERF1
hsp90ab1	HSP90AB1
LOC107397381	CASP3
snai1	SNAI2
LOC107395920	ADCK3
rgmb	RGMB
pip4k2b	PIP4K2B
LOC107380362	FAM98C
znf711	ZFX
LOC107395241	HIST1H2BL
c1qtnf5	C1QTNF5
LOC107384457	CCL20
alg12	ALG12
LOC107384263	HHATL
LOC107381690	NHS
LOC107389007	BRSK2
LOC107387618	ORMDL3
LOC107377335	RELL1
LOC107396418	ARL6IP5
npff	NPFF
LOC107385956	VN1R2
LOC107383066	TLR3
LOC107386440	MEPCE
srd5a1	SRD5A1
LOC107378243	MBNL3
arhgap20	ARHGAP20
LOC107382877	SPATA13
LOC107384298	SUGT1
dmtn	DMTN
jmjd6	JMJD6
hoxa1	HOXA1
kcnj10	KCNJ10
eif4a3	EIF4A3
LOC107385148	PERM1
sgsh	SGSH
LOC107375062	SPIN1
LOC107390777	DMBT1
LOC107378987	ZP3
LOC107380126	SLC47A1
LOC107391778	RNF145
ldlrad4	LDLRAD4
gpn2	GPN2
nfx1	NFX1
LOC107389972	RAP2A
LOC107378082	ASTL
LOC107391419	ZBED1
gabarap	GABARAP
LOC107388237	TNRC6B
spata18	SPATA18
bcl7a	BCL7A
azin1	AZIN1
asxl2	ASXL2
LOC107380610	CASR
LOC107396027	BRMS1L
adamtsl2	ADAMTSL2
helz	HELZ
cnr1	CNR1
LOC107393274	FAM78B
LOC107386695	HPGD
LOC107374127	ANPEP
lars2	LARS2
LOC107388812	FAM174B
trmt2a	TRMT2A
LOC107376629	NACC1
zyx	ZYX
cul4b	CUL4B
haus1	HAUS1
tmem62	TMEM62
LOC107373427	RTL1
LOC107380751	TEX12
tmem8b	TMEM8B
LOC107394865	NEK6
LOC107396428	ELF2
esyt2	ESYT2
fev	FEV
prcp	PRCP
gad1	GAD1
tada3	TADA3
spred1	SPRED1
LOC107377017	IRS1
LOC107372767	MYO5B
LOC107396478	SGMS2
rnf113a	RNF113A
uhrf1bp1	UHRF1BP1
taf11	TAF11
LOC107373735	CPSF4L
LOC107380071	CASR
wdr54	WDR54
elp6	ELP6
LOC107373363	CTSA
LOC107379289	CFB
loxl4	LOXL4
LOC107378200	HEY2
LOC107379815	CLDN4
trip11	TRIP11
LOC107373964	KRR1
tes	TES
kbtbd8	KBTBD8
letmd1	LETMD1
LOC107391540	MGAT4C
prepl	PREPL
ttf2	TTF2
LOC107373418	HARBI1
sox11	SOX11
LOC107378614	HLF
LOC107382845	CSTB
LOC107389431	IMPG2
clk2	CLK2
tmem131	TMEM131
rgs9bp	RGS9BP
LOC107386182	IL1B
LOC107376640	ZSCAN5B
mmab	MMAB
LOC107376979	MRC2
LOC107375207	DLC1
hadha	HADHA
zbtb34	ZBTB34
LOC107385642	ZNF347
ski	SKI
LOC107380682	EVL
lrrc75b	LRRC75A
LOC107391085	PFKFB2
LOC107397286	PRKAG2
gabrd	GABRD
LOC107373338	CMA1
LOC107373985	LOXL2
LOC107379299	SIGLEC12
asb16	ASB16
LOC107392428	CHAC1
kiaa1549l	KIAA1549L
LOC107381782	TSPAN4
pdia4	PDIA4
bmp2k	BMP2K
LOC107375314	SYNPO2
LOC107390787	PNPLA6
LOC107373858	PCDHA3
LOC107389503	HYAL4
LOC107380582	CASR
tmem81	TMEM81
poc5	POC5
acmsd	ACMSD
iqck	IQCK
LOC107373461	ZNF235
ebag9	EBAG9
LOC107373159	AAK1
LOC107375300	ART5
LOC107373675	CAPZA1
LOC107375152	CUTA
ubr1	UBR1
znf385c	ZNF385D
LOC107384706	CD248
LOC107376260	KCNJ12
ric1	RIC1
LOC107389584	ZNF846
pof1b	POF1B
stx17	STX17
eppk1	EPPK1
LOC107376972	C1QTNF3
parp16	PARP16
LOC107393429	RPP21
dusp22	DUSP22
lrrc8c	LRRC8C
jmy	JMY
strip2	STRIP2
slmap	SLMAP
apool	APOOL
LOC107389051	SLC41A2
rtn4ip1	RTN4IP1
npas4	NPAS4
armc6	ARMC6
LOC107376912	OVOL1
adi1	ADI1
LOC107372503	GPR21
LOC107376791	UMOD
LOC107396639	RASSF6
LOC107383107	TNFSF10
ddx42	DDX42
LOC107391412	NCAN
pigt	PIGT
LOC107374184	OR1E1
LOC107395766	PPP1R3D
LOC107386526	CCHCR1
LOC107382312	TRIOBP
bahd1	BAHD1
LOC107390441	NAT8L
LOC107375502	RAB1A
LOC107376000	ZBTB5
LOC107375593	CHUK
chpf	CHPF
LOC107392453	GREM1
LOC107379332	MAN1C1
LOC107374512	REEP3
LOC107395515	MGAT4C
LOC107385485	AQP9
LOC107374080	SHISA6
erp44	ERP44
dph2	DPH2
phf20	PHF20
LOC107380608	CASR
LOC107378513	CHIC1
trmt10b	TRMT10B
LOC107379584	RPRD2
pts	PTS
LOC107378355	HMCN2
LOC107387480	ADAM8
pelo	PELO
LOC107375340	HIST1H4C
tshz2	TSHZ2
LOC107387600	TXNDC2
LOC107376780	DACH2
tmtc3	TMTC3
LOC107372564	FBXL19
LOC107386829	RAPGEF6
eno1	ENO1
fn1	FN1
LOC107386720	MSX2
tbce	TBCE
LOC107389249	ANPEP
tmem177	TMEM177
shc3	SHC3
LOC107394570	MUC5AC
LOC107395184	DGAT1
LOC107374908	ZNF235
trpm7	TRPM7
spo11	SPO11
diaph3	DIAPH3
ankrd33b	ANKRD33B
LOC107393300	AC005943.2
LOC107376960	FRRS1
LOC107394998	RIMS1
csgr09h1orf35	C1orf35
LOC107372862	CFAP46
LOC107390246	TAAR6
LOC107382701	FAM65A
LOC107384395	PGM1
gpr153	GPR153
LOC107387056	SLC6A1
LOC107390127	MAP3K13
LOC107394792	FABP3
emc2	EMC2
alg5	ALG5
LOC107374852	CMYA5
smim22	SMIM22
LOC107390982	OR1M1
atf6b	ATF6B
LOC107393122	PTGFR
LOC107376320	HLF
LOC107392821	PIK3R2
LOC107387549	BUB1
rab3gap2	RAB3GAP2
LOC107393238	ZFYVE9
LOC107392162	YPEL5
haus4	HAUS4
dimt1	DIMT1
LOC107392097	SLC1A6
rab3ip	RAB3IP
LOC107384626	RARRES3
LOC107388069	ABLIM1
LOC107372458	ZNF146
LOC107383466	KIRREL
LOC107396513	ZNF728
LOC107384984	GGH
LOC107392435	MAX
LOC107374743	FAM196A
ppp1r14d	PPP1R14B
arhgef37	ARHGEF37
csgr02h16orf13	C16orf13
LOC107396464	JUN
mkl2	MKL2
bud31	BUD31
LOC107390704	MXI1
wdr25	WDR25
LOC107385117	OPN1LW
LOC107379202	HERPUD2
podxl2	PODXL
chrna1	CHRNA1
LOC107387182	CHM
plppr2	PLPPR5
dcdc2b	DCDC2
celf4	CELF4
rsph9	RSPH9
LOC107387002	FAM64A
LOC107390717	CCDC30
LOC107386756	ARR3
rgl1	RGL1
LOC107394951	EDN1
rora	RORA
LOC107389546	NDUFV3
nkap	NKAPL
pld1	PLD1
LOC107396933	ANO8
tmem141	TMEM141
LOC107378692	COLQ
klhl7	KLHL7
LOC107396203	ANPEP
fryl	FRYL
LOC107377118	SLC12A3
wnk4	WNK4
chrnb2	CHRNB2
LOC107386021	SLC37A4
LOC107382432	CHRNA9
LOC107386683	KIF4A
LOC107396341	ZBED4
irx5	IRX5
barhl1	BARHL1
LOC107383087	HES7
sde2	SDE2
kcnd1	KCND1
LOC107396293	FEZ2
slc8a3	SLC8A3
atp5o	ATP5O
mtfr1	MTFR1
LOC107397001	GPR26
apex2	APEX2
LOC107397376	MICAL2
fam189b	FAM189B
arhgap26	ARHGAP26
fgf3	FGF3
LOC107384349	DLGAP1
LOC107388927	GRIN2A
slc39a1	SLC39A1
top3b	TOP3B
dynlrb1	DYNLRB1
LOC107375631	CEACAM21
LOC107394414	TNFRSF11B
LOC107379567	MKL2
LOC107395395	TRIM27
LOC107384307	GPR158
LOC107372331	ENO4
ubl5	UBL5
rfwd3	RFWD3
LOC107382300	KCNC2
usp25	USP25
LOC107372873	SCN2A
paqr4	PAQR4
wdr43	WDR43
LOC107393557	TNKS
LOC107393045	TNS3
LOC107393257	SH3GL1
ddx24	DDX24
ids	IDS
ptgir	PTGIR
LOC107384132	SH3GL1
LOC107396257	LRRTM4
LOC107383034	FASN
LOC107387532	KCNH6
cep350	CEP350
ankrd13a	ANKRD13A
immp2l	IMMP2L
LOC107373246	BTN3A3
LOC107375226	SAMD3
LOC107396806	PKN2
LOC107394140	GGH
cnih2	CNIH2
srp9	SRP9
LOC107375443	ZBED1
mrpl24	MRPL24
LOC107384352	EPS15
dbr1	DBR1
wdfy4	WDFY4
LOC107377907	BUB1B
LOC107374567	PGBD4
LOC107394536	PPP1R18
ugdh	UGDH
LOC107396381	SRRM2
LOC107383262	ZNF268
LOC107388656	ANO9
nrros	NRROS
cars2	CARS2
LOC107373228	ZNF3
LOC107393576	CLEC4M
exoc7	EXOC7
LOC107394487	PDIA3
en1	EN1
ddx4	DDX4
ttc24	TTC24
aars	AARS
nus1	NUS1
ak9	AK9
xkr9	XKR9
LOC107394240	LGALS3
ost4	OST4
LOC107387805	PARG
LOC107375032	PIP5K1B
LOC107383497	APOL3
tmem115	TMEM115
arvcf	ARVCF
pygo2	PYGO2
ucn	UCN
mybpc3	MYBPC3
fastkd1	FASTKD1
LOC107392715	DNASE2B
LOC107382365	ATP2A2
prkcz	PRKCZ
p4ha3	P4HA3
tox2	TOX2
otor	OTOR
LOC107388129	HBZ
LOC107384247	MMP14
LOC107378785	ZIC1
LOC107379699	PKLR
LOC107393068	MYLK4
LOC107383082	CDH12
LOC107382745	THAP2
zcchc24	ZCCHC24
LOC107373907	KMO
LOC107392758	SEC23B
gjd4	GJA10
LOC107386141	RAB14
LOC107395716	CDC42BPA
LOC107373899	PPEF2
pqlc2	PQLC2
LOC107382066	WT1
cdca7l	CDCA7L
LOC107385470	ABO
tbc1d14	TBC1D14
smarcc1	SMARCC1
tmem248	TMEM248
LOC107373315	HARBI1
tmem116	TMEM116
klhdc8a	KLHDC8A
LOC107378285	EPN3
ppp1r13b	PPP1R13B
nptxr	NPTXR
LOC107379664	PTTG1IP
LOC107373325	YRDC
LOC107379412	NECAP1
LOC107372392	WDR7
ndrg4	NDRG4
cass4	CASS4
LOC107389739	BRDT
LOC107380011	ILK
luc7l3	LUC7L3
LOC107397115	C7orf25
rassf5	RASSF5
LOC107385862	RAB7A
ndufs8	NDUFS8
LOC107385218	RBP7
LOC107385894	OR13C3
ankib1	ANKIB1
LOC107384715	TYRO3
sez6l2	SEZ6L2
LOC107395105	CREB3L3
LOC107389633	RNF17
LOC107379386	ROBO1
bag6	BAG6
LOC107379310	LIM2
rgn	RGN
zc3h12d	ZC3H12D
pdlim4	PDLIM4
LOC107396860	PCDHGA11
itga2	ITGA2
LOC107379641	TMEM244
pou4f1	POU4F3
LOC107376774	FCGR1A
LOC107385837	CHST11
kiaa1324	KIAA1324
LOC107389698	USP9X
LOC107381993	ARSI
LOC107391127	IL17RC
LOC107380736	ULK2
LOC107390544	EHD2
otud4	OTUD4
comp	THBS4
LOC107394272	BTF3
LOC107383490	LTB4R
etv5	ETV5
unc13c	UNC13C
krit1	KRIT1
LOC107391633	BRF1
ppp1r2	PPP1R2
LOC107393345	RNF38
LOC107395859	PARP10
park7	PARK7
LOC107395873	NPY1R
LOC107373973	EPHB4
zdhhc15	ZDHHC15
LOC107392675	ITPRIP
mrpl12	MRPL12
pogz	POGZ
slc25a29	SLC25A29
LOC107376616	FAM195A
p2ry6	P2RY6
LOC107390510	ADGRE5
pdcd5	PDCD5
ndufaf1	NDUFAF1
LOC107397127	FAM208A
olah	OLAH
LOC107395172	PRL
mafk	MAFK
LOC107391239	TRHR
LOC107381481	CD82
LOC107382422	WASL
galnt3	GALNT3
LOC107380237	LBX1
tnfsf12	TNFSF12
csgr06h3orf33	C3orf33
LOC107387925	RUNDC3A
sh3gl2	SH3GL2
LOC107387649	IFNA13
LOC107386198	TUBB4B
bola3	BOLA3
LOC107386018	CKAP2
fam69a	FAM69A
LOC107396234	DPYSL2
cdc6	CDC6
cdc5l	CDC5L
LOC107379429	PHC1
lipg	LIPG
tmem63c	TMEM63C
LOC107379036	ENPP7
LOC107386203	RGS3
rnaseh2c	RNASEH2C
lysmd2	LYSMD2
LOC107395559	ZNF568
ogfrl1	OGFRL1
LOC107380566	CASR
LOC107397229	DTX3
asap1	ASAP1
aamp	AAMP
LOC107388517	OR13C2
uaca	UACA
neurl1b	NEURL1B
ccdc88c	CCDC88C
kiaa1107	KIAA1107
atp2b2	ATP2B2
commd2	COMMD2
LOC107390956	ETV7
LOC107382306	MYO7A
LOC107373759	HOXA10
LOC107388478	TNNI1
LOC107374176	GSG1L
malsu1	MALSU1
LOC107389018	CPT1A
LOC107392692	MCOLN2
LOC107380062	CASR
LOC107386410	PCYT1B
LOC107388204	MAPK8
LOC107389472	CTCF
hectd4	HECTD4
LOC107388400	CDKN1C
pnn	PNN
tom1l2	TOM1L2
amacr	AMACR
zmynd11	ZMYND11
p3h1	P3H1
LOC107391240	TMEM198
ak2	AK2
LOC107383329	SP8
LOC107373786	ZFP2
lhx9	LHX9
lnp1	LNP1
LOC107374522	PANX1
LOC107387921	NGFR
polr2b	POLR2B
LOC107385187	GPR61
vars2	VARS2
LOC107390297	ARHGAP27
cfap36	CFAP36
LOC107380478	POR
rab5c	RAB5C
e2f1	E2F1
LOC107376832	TRIM16
glb1	GLB1
LOC107372328	SIRPB2
abcg8	ABCG8
LOC107393220	RXRG
ppp2r4	PPP2R4
LOC107375796	POLR1D
ccni	CCNI
LOC107375509	SLC24A3
LOC107395270	KIAA1462
fam214b	FAM214B
LOC107381043	CLIC5
smpd4	SMPD4
usp33	USP33
LOC107390519	TSPYL1
LOC107386208	DAB2IP
abhd14b	ABHD14B
LOC107373068	CDK14
thrap3	THRAP3
LOC107378725	TNFRSF11B
otc	OTC
LOC107380963	DPP4
LOC107372753	EPHA8
LOC107391851	PAPLN
colec12	COLEC12
LOC107388933	GNAI1
LOC107374803	ZSWIM6
sema3c	SEMA3C
pigb	PIGB
LOC107377574	VSX2
LOC107372810	RBM24
galnt11	GALNT11
dhx34	DHX34
LOC107372882	ZNF595
smc6	SMC6
LOC107396673	COL4A1
LOC107373971	ASGR2
trim23	TRIM23
nr1h3	NR1H2
mid1ip1	MID1IP1
LOC107373569	SSPO
LOC107384193	MAP4
LOC107384972	SSUH2
LOC107392895	SENP5
hacd3	HACD3
atpaf1	ATPAF1
LOC107374457	M1AP
LOC107393469	ADGRF5
LOC107396727	C1QL3
csmd1	CSMD1
simc1	SIMC1
znf207	ZNF207
LOC107386403	ADGRG2
LOC107385213	EPHA2
LOC107378591	KCNJ16
col8a2	COL10A1
LOC107383700	REST
itm2b	ITM2B
hk3	HK2
gyg2	GYG2
LOC107393789	GFRA2
xpo7	XPO7
rhpn1	RHPN1
LOC107396069	CDHR5
LOC107388125	ZNF235
LOC107397044	ZC3H6
ftl	FTH1
LOC107394452	GZF1
LOC107380905	ARHGEF7
LOC107397097	FMO5
LOC107373738	RIPK3
LOC107389562	COLQ
st5	ST5
slc24a5	SLC24A5
LOC107374648	FMO5
tdp1	TDP1
LOC107375562	SF3A2
acss1	ACSS1
ppm1b	PPM1B
psma5	PSMA5
gphn	GPHN
sned1	SNED1
LOC107388235	SH3BP1
LOC107394885	DDX6
nup37	NUP37
tcirg1	ATP6V0A2
rpl10a	RPL10A
psmd5	PSMD5
robo1	ROBO1
LOC107384047	SCN8A
LOC107394057	SH3TC2
LOC107374919	HIPK1
chpf2	CHPF2
LOC107384339	CCR1
LOC107375804	ALMS1
best3	BEST3
ren	REN
cep89	CEP89
LOC107386034	TOR2A
LOC107386546	GJD2
zadh2	ZADH2
eif4e2	EIF4E2
foxl2	FOXL2
hif1an	HIF1AN
LOC107382759	IL10RB
LOC107394815	KCTD9
rbm28	RBM28
noc2l	NOC2L
LOC107383202	SLC22A13
LOC107383927	TUBB2A
LOC107390596	AKR1B10
LOC107392021	CRIP2
rptor	RPTOR
LOC107373797	WFDC3
LOC107377040	ACTR2
LOC107396972	MAG
sec14l2	SEC14L2
LOC107396835	CD48
ttc39b	TTC39B
eif3f	EIF3F
ankrd29	ANKRD29
msl1	MSL1
LOC107392239	ATPIF1
adam15	ADAM12
cabp1	CABP1
ndufa12	NDUFA12
eri2	ERI2
LOC107390846	CACNB3
LOC107387793	DNALI1
sfrp2	SFRP2
LOC107387112	MYO7A
LOC107386956	GRIK1
LOC107393872	CLDN22
LOC107383251	UBE2E2
slc35a4	SLC35A4
znf512b	ZNF512B
LOC107389214	SAMD3
dmrt3	DMRT3
maneal	MANEAL
nsun4	NSUN3
srsf11	SRSF11
c6	C6
LOC107391533	TUBA1C
armc4	ARMC4
LOC107379034	MRC2
susd1	SUSD1
LOC107376991	PICALM
nfe2l3	NFE2L3
rev1	REV1
dhx37	DHX37
rmi1	RMI1
scrn3	SCRN3
ift22	IFT22
LOC107395330	CBX3
slc25a36	SLC25A36
LOC107389392	ADARB1
LOC107379322	F11R
LOC107380381	CCDC92
LOC107395337	RCVRN
LOC107382529	SOX17
LOC107392601	SPTLC2
LOC107396922	NPY
LOC107393765	FAM8A1
invs	INVS
nup54	NUP54
dhx30	DHX30
LOC107375368	KIF16B
sec16b	SEC16B
LOC107380859	CBS
borcs6	BORCS6
LOC107381617	GOLGB1
LOC107396546	ACYP1
LOC107397128	ASB14
lrp5	LRP5
LOC107396601	CHUK
LOC107390266	SSTR5
LOC107374168	ZBED4
sdf2	SDF2
lmf2	LMF2
LOC107389061	KDM2A
cbln2	CBLN2
decr1	DECR1
med8	MED8
emid1	EMID1
hgf	HGF
LOC107388434	PDLIM3
myd88	MYD88
LOC107390489	EIF4E3
nrp2	NRP2
smdt1	SMDT1
csgr06h19orf54	C19orf54
mapk7	MAPK7
ca4	CA4
foxo3	FOXO3
ccnd3	CCND2
LOC107395327	NXPH1
tnfaip8l1	TNFAIP8L1
LOC107392929	LRP8
LOC107385013	PHC2
LOC107376602	MYADML2
LOC107394055	ZBED1
LOC107394690	CTSS
sumf1	SUMF1
anp32e	ANP32E
LOC107385645	SPRYD3
LOC107373798	WFDC3
ccdc3	CCDC3
LOC107374398	ZNF235
lemd3	LEMD3
bag1	BAG1
LOC107373711	SPPL2A
LOC107376688	SLC9A3R1
dlgap5	DLGAP5
pcbp1	PCBP3
LOC107374097	PLEKHG4B
ctr9	CTR9
mknk1	MKNK1
golga3	GOLGA3
LOC107395084	SEMA4F
zswim6	ZSWIM6
rnf114	RNF114
iah1	IAH1
pth2r	PTH2R
ankle1	ANKLE1
LOC107377943	GJE1
sdr42e1	SDR42E1
LOC107373665	CPA1
psmg2	PSMG2
foxc1	FOXC1
mapkapk2	MAPKAPK2
polr3b	POLR3B
LOC107394820	MARCH5
LOC107372854	ZNF235
LOC107379997	CAMKK2
sf3b3	SF3B3
lsm11	LSM11
LOC107386301	FUBP3
romo1	ROMO1
renbp	RENBP
spock1	SPOCK1
LOC107391266	OPN5
gpat3	GPAT3
pcgf3	PCGF3
LOC107390101	PTTG1IP
LOC107373143	MYH11
LOC107376760	ZNF737
LOC107381681	GPA33
LOC107388182	CSTB
polh	POLH
nudt18	NUDT18
tlr7	TLR7
LOC107376349	MMD2
LOC107376174	SLC44A2
LOC107385713	RAB7A
ctsb	CTSB
kbtbd12	KBTBD12
srpk2	SRPK2
elovl5	ELOVL5
LOC107383820	ODF2
anapc15	ANAPC15
snrnp25	SNRNP25
fam65c	FAM65C
LOC107394563	RNF115
LOC107385615	NR4A1
LOC107384673	AHR
LOC107390966	SLC25A22
LOC107385632	SNX5
slc35g1	SLC35G1
LOC107378583	TCAP
LOC107384403	SCP2
LOC107373348	HIST2H2AB
gja3	GJA3
arf3	ARF3
LOC107386516	IL1RAP
LOC107394898	SCN3B
LOC107388802	FKBP8
cipc	CIPC
LOC107387634	G6PC
agmo	AGMO
LOC107395898	NCF2
LOC107372531	GALC
ccdc173	CCDC173
plpp2	PLPP2
LOC107379949	GPR171
arhgef26	ARHGEF26
tdrd3	TDRD3
LOC107396894	ZNF235
gcnt3	GCNT3
hspa5	HSPA5
rcor2	RCOR2
LOC107387620	THRA
trim2	TRIM2
paip2	PAIP2B
vgll1	VGLL1
kiaa0368	KIAA0368
LOC107390646	B3GNT7
atg14	ATG14
cast	CAST
LOC107374472	SI
LOC107393374	CELA3B
trib2	TRIB2
mnd1	MND1
LOC107381202	GCFC2
LOC107386761	FGF13
LOC107386482	CHRM2
narfl	NARFL
LOC107376291	RBFOX2
polr3h	POLR3H
LOC107396648	TBCEL
gtpbp3	GTPBP3
LOC107381875	COMMD5
LOC107384956	VPRBP
lrrc3c	LRRC3
ppargc1a	PPARGC1A
slc25a4	SLC25A5
LOC107382221	CTB-55O6.8
LOC107397197	LALBA
bri3bp	BRI3BP
LOC107393080	CARTPT
LOC107385807	CBR4
acyp1	ACYP1
acvr1b	ACVR1B
LOC107389514	PARD6A
LOC107396282	CLINT1
stoml3	STOM
ick	ICK
tfap2a	TFAP2A
fbxo16	FBXO16
nagpa	NAGPA
LOC107396759	DMD
mfap1	MFAP1
tns3	TNS3
LOC107388706	MORF4L1
psma1	PSMA1
jag1	JAG1
LOC107379222	ONECUT2
lhx4	LHX4
nup188	NUP188
LOC107389222	WT1
ryk	RYK
LOC107395324	COL27A1
LOC107379872	ESRRG
LOC107384410	NASP
bckdhb	BCKDHB
LOC107381435	CYP2R1
ormdl1	ORMDL1
neurl4	NEURL4
LOC107388516	OR11A1
LOC107375272	ALOXE3
uap1	UAP1
LOC107377314	LDLRAP1
ciart	CIART
matr3	MATR3
ptprk	PTPRK
LOC107395345	IGSF9B
